Provider State,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths
SD,7.0,196.0,227.0,976.0,42.0,580.0,62.0,1104.0,25.0,212.0,184.0,1205.0,66.0,1453.0,0.0,4.0
TN,104.0,1859.0,404.0,5948.0,64.0,2256.0,213.0,6026.0,70.0,897.0,396.0,6315.0,74.0,2315.0,0.0,11.0
TX,335.0,7499.0,1027.0,24656.0,72.0,7301.0,401.0,13863.0,138.0,4296.0,759.0,19194.0,129.0,6795.0,1.0,78.0
UT,70.0,865.0,86.0,956.0,6.0,605.0,22.0,652.0,6.0,177.0,101.0,1294.0,16.0,834.0,1.0,4.0
VA,66.0,1697.0,249.0,5664.0,107.0,3285.0,154.0,4334.0,45.0,1193.0,229.0,4147.0,98.0,3454.0,0.0,19.0
VT,1.0,25.0,0.0,101.0,7.0,337.0,15.0,501.0,0.0,33.0,1.0,73.0,14.0,551.0,0.0,0.0
WA,25.0,1115.0,60.0,2335.0,36.0,1944.0,153.0,2666.0,10.0,538.0,60.0,1882.0,87.0,2442.0,0.0,8.0
WI,109.0,1184.0,592.0,3044.0,105.0,2292.0,219.0,5228.0,100.0,487.0,631.0,4001.0,293.0,5760.0,1.0,9.0
WV,8.0,199.0,165.0,1412.0,24.0,1168.0,49.0,1878.0,10.0,193.0,106.0,1044.0,45.0,1239.0,0.0,1.0
WY,9.0,44.0,55.0,218.0,18.0,154.0,13.0,388.0,6.0,28.0,83.0,261.0,22.0,346.0,0.0,3.0
