Provider State,Provider Zip Code,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases
GA,11074805,90.0,3520.0,328.0,11990.0,0.0,5345.0,204.0,6861.0,71.0,2202.0,37279.0,26386.0,7784.0,19013.0,244.0,8295.0,0.0,4073.0,0.0,31.0,82.0,5.0,3939.4000000000005,985.1999999999999,155120.70000000007,29686.400000000005,9345.099999999999
MD,4793642,185.0,3064.0,323.0,7268.0,0.0,2027.0,162.0,5603.0,72.0,1535.0,27026.0,19936.0,2078.0,11090.0,286.0,5697.0,0.0,1983.0,1.0,35.0,341.0,1.0,4158.4,1047.4,79831.49999999997,16875.600000000006,5453.8
NE,13450788,65.0,715.0,308.0,3394.0,0.0,1294.0,128.0,3019.0,64.0,619.0,14535.0,9283.0,7840.0,18676.0,273.0,3741.0,0.0,3379.0,0.0,6.0,29.0,0.0,6577.6,1450.1999999999996,76898.19999999997,14521.299999999996,2681.299999999999
LA,19607516,25.0,2711.0,283.0,9346.0,0.0,1413.0,154.0,5799.0,58.0,2004.0,32948.0,21387.0,1491.0,2617.0,289.0,7581.0,0.0,1516.0,0.0,34.0,149.0,14.0,3807.200000000001,730.8000000000001,109253.1,22751.700000000015,8898.900000000001
MS,7995118,42.0,1079.0,281.0,6472.0,0.0,2449.0,83.0,2842.0,29.0,1188.0,17257.0,13009.0,5657.0,13476.0,269.0,5120.0,0.0,2549.0,2.0,36.0,32.0,2.0,4197.499999999999,326.2,95771.49999999999,18231.5,3557.9000000000005
RI,227512,38.0,828.0,244.0,2979.0,0.0,916.0,70.0,1798.0,27.0,725.0,8567.0,6170.0,293.0,205.0,235.0,2134.0,0.0,776.0,0.0,11.0,15.0,0.0,3507.2,309.40000000000003,37932.59999999999,8680.999999999998,1607.3
WV,3179442,13.0,275.0,202.0,2437.0,0.0,1326.0,70.0,2275.0,20.0,324.0,10507.0,8367.0,2502.0,9834.0,219.0,1873.0,0.0,1442.0,0.0,4.0,0.0,0.0,2970.5,263.20000000000005,35018.999999999985,4673.5,943.6999999999999
WA,19898681,32.0,1132.0,176.0,3273.0,0.0,2227.0,193.0,3455.0,115.0,825.0,18655.0,12573.0,1659.0,5210.0,161.0,2757.0,0.0,2894.0,0.0,10.0,170.0,14.0,2867.0,1921.2,55392.7,13296.7,3508.8000000000006
SC,5572913,66.0,2188.0,166.0,6877.0,0.0,2903.0,99.0,4355.0,20.0,1226.0,19943.0,14887.0,5492.0,11050.0,189.0,4796.0,0.0,2786.0,2.0,23.0,22.0,0.0,2669.4000000000005,291.3,84120.09999999996,15212.50000000001,3497.8000000000006
NV,5890442,36.0,1140.0,159.0,2190.0,0.0,1359.0,50.0,935.0,30.0,280.0,6786.0,4601.0,1451.0,3766.0,109.0,1833.0,0.0,1093.0,0.0,9.0,127.0,33.0,2411.9,681.2,28854.599999999995,4093.9999999999995,564.6000000000001
UT,8176667,121.0,1215.0,157.0,1616.0,0.0,663.0,32.0,807.0,16.0,242.0,7340.0,4753.0,2278.0,8049.0,163.0,2062.0,0.0,918.0,2.0,6.0,109.0,2.0,3259.5999999999995,293.3,29915.800000000003,4290.499999999999,1997.9
NM,6132622,53.0,997.0,151.0,2057.0,0.0,357.0,42.0,1333.0,21.0,381.0,6846.0,4487.0,1278.0,1952.0,106.0,1789.0,0.0,449.0,0.0,5.0,0.0,0.0,2018.5,367.80000000000007,30495.300000000007,6368.2,1671.7
SD,5961761,38.0,347.0,151.0,2196.0,0.0,685.0,92.0,1669.0,54.0,573.0,6517.0,4735.0,3069.0,6726.0,115.0,2386.0,0.0,1722.0,0.0,6.0,5.0,4.0,3236.6000000000004,1477.1,53958.50000000005,14459.499999999998,1994.0999999999995
